,이름,장르,총합 별점,관심수,평균 조회수,평균 업로드 간격,평균 공백 제거 글자수,평균 댓글 수,Target
119,러브 코미디? 여긴 현실입니다만,라이트노벨,10.0,53,741.4,3.75,1683.4,1.8,1
120,기억을 잃은 나는 이세계에서 무쌍을 찍습니다.,라이트노벨,9.89,1405,12000.0,1.0,3640.6,10.0,1
121,무너지는 새벽,라이트노벨,10.0,2,31.4,7.25,347.8,0.0,1
122,그 신화속에 나오는 악마가 아마 접니다.,라이트노벨,9.99,10,222.6,4.75,1080.2,0.0,1
123,마녀가 제 여동생이라는데요?,라이트노벨,10.0,10,201.2,22.0,2492.2,0.8,1
124,삶의 절망에 빠진 60대 엄마에 딸이,라이트노벨,10.0,1,63.4,4.0,2514.2,0.2,1
125,우리는 6학년이다!,라이트노벨,9.97,23,139.6,1.0,1975.6,0.8,1
126,세계 최강자인 한 나라의 왕녀로 전생했습니다...,라이트노벨,10.0,5,162.8,1.0,3526.8,0.8,1
127,최강자는 졸립다.,라이트노벨,9.67,40,575.0,0.5,2096.2,1.6,1
128,(하렘)소설부!,라이트노벨,10.0,9,115.6,5.75,2431.6,0.4,1
129,귀환한 대마법사가 내세우는 20년간의 계획,라이트노벨,9.3,165,4451.0,0.0,4082.0,3.0,1
130,이혼 후 딸이 찾아왔다.,라이트노벨,9.84,53,2140.6,5.0,3758.0,0.0,1
131,뱀들의 왕인데 몸이 인간입니다.,라이트노벨,7.86,6,117.8,7.75,3707.8,0.0,1
132,여신들의 사랑을 받는 남자는 평온한 일상을 보내려합니다,라이트노벨,8.0,190,3666.0,4.0,1351.4,4.2,1
133,최약용사,라이트노벨,10.0,7,115.2,41.75,1023.6,0.2,1
134,성검학원의 듀라한,라이트노벨,0.0,3,14.8,0.25,4216.4,0.0,1
135,"너와 내가 알지만, 나와 너는 모를 이야기",라이트노벨,9.91,1,51.6,5.5,1354.6,0.8,1
136,"나의 친구, 다정한 완벽주의자",로맨스,10.0,344,3117.0,4.25,4158.0,3.8,0
137,눈빛만으로,로맨스,9.99,106,359.2,1.0,3917.0,1.2,0
138,내 공식적인 아내가 되어줘,로맨스,10.0,118,977.8,1.0,3739.0,0.0,0
139,나의 여름은 낭만이었다,로맨스,10.0,144,323.8,0.75,3796.6,0.4,0
140,"5분, 둘 만의 비밀",로맨스,10.0,149,1121.8,0.75,4778.6,0.6,0
141,반말하는 연하남,로맨스,9.77,126,689.2,0.0,3599.0,1.0,0
